run_dir,experiment_name,encoding_type,model_type,trainer,grid_size,sigma_delta_step,sigma_delta_edge_only,tf_events_threshold,seed,training_device,train_time_seconds,total_time_seconds,num_classes,val_loss,val_acc,test_loss,test_acc,run_name,run_datetime,run_date,run_time,per_snr_30,snr_list,snr_min,snr_max,num_snrs,per_snr_10,per_snr_0,per_snr_-4,per_snr_12,per_snr_8,per_snr_4,per_snr_2,per_snr_6,per_snr_-20,per_snr_-10,per_snr_20,per_snr_14,per_snr_16,per_snr_22,per_snr_-8,per_snr_-18,per_snr_-16,per_snr_-2,per_snr_26,per_snr_18,per_snr_24,per_snr_-14,per_snr_28,per_snr_-6,per_snr_-12
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_143840,radioml2018_iqgrid_conv2d_dcll_small,tf_events,lsm,dcll,16,,,,42,,,,2,0.4257207599002868,0.8056640625,0.4130026667844504,0.80908203125,radioml2018_iqgrid_conv2d_dcll_small_20251202_143840,2025-12-02 14:38:40,2025-12-02,14:38:40,,"-4,0,4,8,12",-4,12,5,,0.7939814814814815,0.616822429906542,0.9044289044289044,0.8607594936708861,0.8846153846153846,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_bptt_small_1_20251204_163813,radioml2018_iqgrid_hrm_bptt_small_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.4855316890481049,0.7970660146699267,0.5162252515481917,0.805352798053528,radioml2018_iqgrid_hrm_bptt_small_1_20251204_163813,2025-12-04 16:38:13,2025-12-04,16:38:13,,"0,10",0,10,2,0.995260663507109,0.605,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_bptt_small_1_20251204_163528,radioml2018_iqgrid_hrm_bptt_small_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.4331348884513734,0.7897310513447433,0.3998146264512463,0.8004866180048662,radioml2018_iqgrid_hrm_bptt_small_1_20251204_163528,2025-12-04 16:35:28,2025-12-04,16:35:28,,"0,10",0,10,2,0.981042654028436,0.61,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_124853,radioml2018_iqgrid_conv2d_dcll_small,iq_grid,conv2d_snn,dcll,16,,,,42,,,,2,1.6106816530227661,0.8333333333333334,2.3917410373687744,0.7857142857142857,radioml2018_iqgrid_conv2d_dcll_small_20251202_124853,2025-12-02 12:48:53,2025-12-02,12:48:53,,"0,10",0,10,2,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_dcll_small_1_20251204_161430,radioml2018_iqgrid_hrm_dcll_small_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.2960524062315623,0.8725490196078431,0.5159757004200833,0.7815533980582524,radioml2018_iqgrid_hrm_dcll_small_1_20251204_161430,2025-12-04 16:14:30,2025-12-04,16:14:30,,"0,10",0,10,2,0.972972972972973,0.5578947368421052,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_dcll_small_1_20251204_161811,radioml2018_iqgrid_hrm_dcll_small_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.40512832875356697,0.7970660146699267,0.5741705981484295,0.7688564476885644,radioml2018_iqgrid_hrm_dcll_small_1_20251204_161811,2025-12-04 16:18:11,2025-12-04,16:18:11,,"0,10",0,10,2,0.9715639810426541,0.555,,,,,,,,,,,,,,,,,,,,,,,
results/project_runs_0_conv2d_iqgrid_bptt_20260106_224907,project_runs_0_conv2d_iqgrid_bptt,iq_grid,conv2d_snn,bptt,16,,,,42,mps,1040.0346874580719,1047.4948789170012,4,0.5652343088599497,0.7619047619047619,0.560664714254984,0.7585365853658537,project_runs_0_conv2d_iqgrid_bptt_20260106_224907,2026-01-06 22:49:07,2026-01-06,22:49:07,0.8121827411167513,"0,10,20,30",0,30,4,0.8333333333333334,0.5701357466063348,,,,,,,,,0.8385416666666666,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_dcll_small_20251204_143420,radioml2018_iqgrid_hrm_dcll_small,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.507123636264427,0.8235294117647058,0.6358604014498516,0.7572815533980582,radioml2018_iqgrid_hrm_dcll_small_20251204_143420,2025-12-04 14:34:20,2025-12-04,14:34:20,,"0,10",0,10,2,0.9285714285714286,0.5531914893617021,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_dcll_small_1_20251204_160604,radioml2018_iqgrid_hrm_dcll_small_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.27878306192510266,0.8823529411764706,0.5229530716405332,0.7475728155339806,radioml2018_iqgrid_hrm_dcll_small_1_20251204_160604,2025-12-04 16:06:04,2025-12-04,16:06:04,,"0,10",0,10,2,0.954954954954955,0.5052631578947369,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_small_hrm_bptt_1_20251207_151643,radioml2018_small_hrm_bptt_1,iq_grid,hrm_rf,bptt,16,,,,42,mps,2984.523595375009,2986.771672749892,6,0.5224473548702074,0.7281237281237282,0.4910736993809646,0.7381049206994713,radioml2018_small_hrm_bptt_1_20251207_151643,2025-12-07 15:16:43,2025-12-07,15:16:43,0.7381049206994713,30,30,30,1,,,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_full_conv2dsnn_bptt_20251204_174302,radioml2018_full_conv2dsnn_bptt,iq_grid,conv2d_snn,bptt,16,,,,42,,,,4,0.45668162219681774,0.7530562347188264,0.5102645383554073,0.732360097323601,radioml2018_full_conv2dsnn_bptt_20251204_174302,2025-12-04 17:43:02,2025-12-04,17:43:02,,0,0,0,1,,0.732360097323601,,,,,,,,,,,,,,,,,,,,,,,
results/project_runs_1_conv2d_.iqgrid_bptt_20260106_180718,project_runs_1_conv2d_.iqgrid_bptt,iq_grid,conv2d_snn,bptt,16,,,,42,mps,1347.5663363330532,1351.3766689589247,6,0.6105650360498832,0.749185667752443,0.630939585600442,0.7268292682926829,project_runs_1_conv2d_.iqgrid_bptt_20260106_180718,2026-01-06 18:07:18,2026-01-06,18:07:18,0.7894736842105263,"0,10,20,30",0,30,4,0.813953488372093,0.5,,,,,,,,,0.8025078369905956,,,,,,,,,,,,,,
results/project_runs_1_conv2d_.iqgrid_bptt_20260105_111001,project_runs_1_conv2d_.iqgrid_bptt,iq_grid,conv2d_snn,bptt,16,,,,42,mps,1188.2320512910374,1189.194243709091,2,0.552619844893663,0.7334963325183375,0.5601485206262908,0.7177615571776156,project_runs_1_conv2d_.iqgrid_bptt_20260105_111001,2026-01-05 11:10:01,2026-01-05,11:10:01,0.7777777777777778,"0,10,20,30",0,30,4,0.8181818181818182,0.5148514851485149,,,,,,,,,0.7572815533980582,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_dcll_small_1_20251204_160438,radioml2018_iqgrid_hrm_dcll_small_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.6790816187858582,0.6666666666666666,0.6106857657432556,0.7142857142857143,radioml2018_iqgrid_hrm_dcll_small_1_20251204_160438,2025-12-04 16:04:38,2025-12-04,16:04:38,,"0,10",0,10,2,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,
